,/lpc/f71858/voltage/0,/lpc/f71858/voltage/1,/lpc/f71858/voltage/2,/lpc/f71858/temperature/0,/lpc/f71858/temperature/1,/lpc/f71858/temperature/2,/lpc/f71858/fan/0,/lpc/f71858/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/temperature/0,/hdd/2/load/0
Time,"VCC3V","VSB3V","Battery","Temperature #1","Temperature #2","Temperature #3","CPU Fan","Case Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Used Space","Temperature","Used Space","Temperature","Used Space"
04/24/2016 17:11:46,3.29600024,3.31200027,3.24800014,38,42.375,59.75,1236.60352,962.1552,3.8461566,3.87057066,2.30768919,3.8461566,3.46764326,55,56,53,51,2261.1543,2261.1543,1197.08167,1197.08167,133.009079,28.0421219,4.47553253,11.4845047,42.0000038,1541,28,250,150,0.900000036,1,39,38.630703,34,55.77373,32,66.037796
04/24/2016 17:11:47,3.29600024,3.29600024,3.24800014,37.75,42,60,1238.64575,959.6929,3.076923,3.8461566,1.53846145,3.076923,2.88462043,56,54,52,52,1197.08069,1197.08069,1197.08069,1197.08069,133.008957,28.0348282,4.474369,11.4856682,42.0000038,1543,28,250,150,0.900000036,0,39,38.630703,34,55.77373,32,66.037796
04/24/2016 17:11:48,3.29600024,3.31200027,3.24800014,37.875,42.25,59.875,1270.11011,959.6929,3.076923,0.7692337,3.076923,5.396634,3.079927,55,54,52,51,1197.08118,1197.08118,1197.08118,1197.08118,133.009018,28.0416183,4.47545242,11.4845848,42.0000038,1541,28,250,150,0.900000036,0,39,38.630703,34,55.77373,32,66.037796
04/24/2016 17:11:49,3.29600024,3.31200027,3.24800014,38,42.25,59.875,1234.56787,965.8725,2.30768919,6.153846,1.53846145,4.615384,3.65384221,55,54,52,51,1197.0813,1197.0813,1197.0813,1197.0813,133.009033,28.0000763,4.46882248,11.4912148,42.0000038,1541,28,250,150,0.900000036,0,39,38.630703,34,55.77373,32,66.037796
04/24/2016 17:44:46,3.29600024,3.29600024,3.24800014,37,39.625,57.25,1236.60352,951.1731,4.615384,3.076923,1.53846145,3.076923,3.07692885,52,52,49,49,1197.08118,1197.08118,1197.08118,1197.08118,133.009018,28.1013489,4.48498535,11.4750519,43.5000038,1618,30,250,150,0.900000036,0,34,38.630703,33,55.774147,31,66.037796
04/24/2016 17:45:01,3.29600024,3.31200027,3.24800014,37.375,39.25,57.375,1236.60352,959.6929,2.30768919,2.29603648,0.7692337,3.076923,2.112472,52,52,49,48,1197.0813,1197.0813,1197.0813,1197.0813,133.009033,27.9870071,4.466736,11.4933014,43.0000038,1617,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:02,3.29600024,3.31200027,3.24800014,37.5,39.5,57.375,1236.60352,951.1731,3.8461566,1.53846145,0.7692337,3.076923,2.30769515,52,52,50,48,1197.08081,1197.08081,1197.08081,1197.08081,133.008987,27.99128,4.46741867,11.4926186,43.0000038,1619,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:03,3.29600024,3.29600024,3.24800014,37.25,39.25,57.25,1236.60352,952.381,0.7692337,1.53846145,2.30768919,2.30768919,1.73077583,52,51,50,48,1197.08142,1197.08142,1197.08142,1197.08142,133.009048,27.9868622,4.466713,11.4933243,43.0000038,1617,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:05,3.29600024,3.31200027,3.24800014,37,39.5,57.625,1236.60352,951.1731,5.384612,1.53846145,2.30768919,6.92307949,4.038465,52,51,49,49,1197.08093,1197.08093,1197.08093,1197.08093,133.008987,27.9880753,4.4669075,11.49313,43.0000038,1617,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:06,3.29600024,3.29600024,3.24800014,37.125,39.25,57.625,1236.60352,951.1731,3.076923,3.076923,0.7692337,3.076923,2.49999762,52,52,49,49,1197.0813,1197.0813,1197.0813,1197.0813,133.009033,27.9828644,4.466076,11.4939613,43.0000038,1620,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:07,3.29600024,3.31200027,3.24800014,37.25,39.25,57.75,1236.60352,952.381,3.03030014,0.757575035,1.51515007,2.272725,1.89393759,54,51,49,48,1197.08179,1197.08179,1197.08179,2128.14551,133.0091,27.9829788,4.466095,11.4939423,43.0000038,1618,30,250,150,0.900000036,3,34,38.630703,33,55.77459,31,66.037796
